ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000001.SZ,20260320,208003,22534.95,137871,14937.85,238824,25876.92,210148,22767.92,201214,21809.2,201243,21809.82,186041,20160.83,284820,30866.31,-161146,-17384.97
000001.SZ,20260319,163339,17821.83,113585,12393.33,188546,20569.81,187846,20495.59,173008,18875.32,171833,18749.99,99319,10841.69,150948,16469.74,-91998,-10002.38
000001.SZ,20260318,186915,20500.69,161713,17734.48,266201,29196.74,224618,24642.26,180905,19841.61,226336,24827.31,157059,17232.09,178412,19567.07,-149740,-16397.47
000001.SZ,20260317,202426,22334.3,239679,26438.42,298105,32891.81,334937,36941.8,270780,29866.74,248380,27396.11,305346,33663.7,253661,27980.22,261874,28892.55
000001.SZ,20260316,152248,16641.79,128250,14017.03,180411,19714.89,197779,21618.38,177615,19408.6,195816,21394.97,205329,22443.66,193758,21178.57,-25048,-2701.23
000001.SZ,20260313,177564,19419.43,182494,19964.18,227046,24826.87,244940,26796.52,215774,23596.64,198016,21658.2,221555,24241.0,216490,23665.04,-80137,-8703.06
000001.SZ,20260312,167854,18327.1,154214,16839.91,222166,24252.39,213290,23291.58,184095,20093.57,204280,22299.96,180790,19744.13,183121,19985.74,107033,11723.66
000001.SZ,20260311,186013,20166.37,154787,16781.41,197865,21448.53,247652,26841.43,175928,19068.77,198922,21562.1,160729,17420.43,119174,12919.16,107856,11754.28
000001.SZ,20260310,161397,17373.38,254444,27382.6,242502,26103.0,205506,22130.79,202647,21813.34,162169,17462.18,183566,19767.63,167993,18081.78,-53984,-5762.5
000001.SZ,20260309,201445,21703.26,246165,26519.2,248714,26796.7,222902,24015.8,224846,24229.98,175923,18957.04,160888,17341.74,190903,20579.64,-124285,-13347.97
000001.SZ,20260306,120343,13000.89,92022,9938.66,128298,13857.0,146600,15831.84,131192,14167.3,127131,13730.31,96745,10448.16,110824,11972.54,11793,1300.14
000001.SZ,20260305,148468,16022.23,158906,17134.7,198959,21461.64,212119,22876.64,171279,18464.87,196028,21139.1,193936,20906.61,145588,15704.91,208447,22520.25
000001.SZ,20260304,275942,29573.36,218627,23425.65,337192,36144.58,321143,34415.59,230768,24738.84,300218,32185.84,245812,26342.81,249727,26772.5,-324788,-34798.94
000001.SZ,20260303,233271,25390.96,214292,23324.67,323896,35248.17,328616,35751.02,231686,25201.65,296164,32224.95,239842,26099.43,189623,20639.57,111436,12217.37
000001.SZ,20260302,178007,19285.06,173285,18783.94,244157,26444.44,229736,24897.85,246400,26697.02,207940,22530.35,170310,18448.26,227913,24662.64,-188620,-20362.28
000001.SZ,20260227,115173,12528.02,113198,12314.04,170504,18549.72,162067,17635.18,151907,16525.17,188898,20553.6,174644,19014.83,148065,16114.91,-50378,-5446.85
000001.SZ,20260226,132180,14325.97,129890,14088.08,178902,19393.45,178907,19411.38,167807,18195.32,244598,26516.7,233842,25380.03,159335,17278.62,25003,2776.57
000001.SZ,20260225,229317,24939.47,132925,14475.56,301442,32792.5,210077,22878.16,276295,30059.47,259840,28277.15,256081,27877.93,460293,50038.51,-264176,-28670.47
000001.SZ,20260224,123867,13516.43,130054,14190.93,151597,16540.65,170993,18659.42,131876,14391.93,183708,20050.31,195173,21299.76,117759,12848.12,-18861,-2039.91
