ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000012.SZ,20260320,116101,5336.52,144160,6632.2,101866,4687.43,97711,4499.6,75140,3457.5,73130,3363.72,34813,1605.86,12920,591.79,-61233,-2799.7
000012.SZ,20260319,125940,5861.12,112966,5261.93,101068,4707.06,100159,4664.01,69232,3225.2,62196,2892.85,11063,513.66,31981,1488.25,-78341,-3633.56
000012.SZ,20260318,121208,5761.59,107379,5104.37,108062,5137.21,88087,4187.58,51712,2460.98,66679,3173.29,2430,114.94,21266,1009.48,-66820,-3168.99
000012.SZ,20260317,105865,5144.93,97189,4727.49,101943,4956.09,115041,5593.8,71285,3465.18,79520,3866.09,29597,1446.15,16941,824.99,-10999,-510.52
000012.SZ,20260316,137497,6630.69,102334,4940.12,118143,5701.93,110038,5314.07,63742,3084.8,76367,3686.98,14597,701.22,45240,2177.47,-86182,-4134.24
000012.SZ,20260313,150814,7399.66,112994,5548.52,135041,6622.56,128535,6306.84,85142,4179.43,110322,5417.27,40414,1990.33,59560,2919.35,-88744,-4320.1
000012.SZ,20260312,136166,6698.81,125161,6161.46,138310,6806.05,127221,6262.38,111716,5498.96,105827,5208.55,29797,1464.98,57780,2836.41,-3201,-136.25
000012.SZ,20260311,134459,6549.2,172318,8407.66,164978,8034.19,193884,9453.19,139117,6768.84,148245,7219.96,114447,5598.98,38554,1870.4,42076,2118.1
000012.SZ,20260310,117545,5700.09,140511,6818.24,143430,6959.99,116890,5671.02,111971,5429.91,110151,5341.52,52033,2519.6,57426,2778.81,31632,1558.18
000012.SZ,20260309,146260,7078.33,152054,7361.26,170456,8250.33,152369,7380.62,102019,4941.1,141130,6837.22,67946,3299.66,41128,1990.32,-74022,-3560.45
000012.SZ,20260306,124188,5987.66,138122,6658.58,142131,6850.07,125652,6056.91,117969,5682.54,104338,5027.47,19014,918.42,35190,1695.73,27727,1358.28
000012.SZ,20260305,122553,5900.06,192181,9253.13,150264,7235.88,136240,6564.54,120405,5800.5,83892,4038.5,51154,2462.69,32063,1542.95,10516,527.46
000012.SZ,20260304,148166,7094.1,153018,7328.08,140586,6729.06,116097,5560.42,105053,5029.82,110270,5281.48,24992,1202.43,39411,1885.43,-31426,-1487.82
000012.SZ,20260303,206766,10080.74,185752,9062.54,187110,9128.18,167455,8175.05,143694,7013.93,140124,6851.76,20596,1006.88,64834,3140.39,-90589,-4404.16
000012.SZ,20260302,225229,11119.13,188348,9301.8,213102,10519.99,206216,10182.69,129526,6396.84,154856,7643.87,34400,1698.13,52837,2605.74,-125533,-6170.87
000012.SZ,20260227,248924,12493.84,295813,14847.94,252848,12696.31,237103,11907.76,179903,9030.11,163167,8194.94,53447,2688.54,39038,1958.16,-57010,-2826.02
000012.SZ,20260226,537310,27155.74,609028,30748.09,491744,24871.05,431084,21802.48,307009,15549.51,276087,14007.93,84539,4286.19,104404,5303.99,-295785,-14933.83
000012.SZ,20260225,134632,6699.65,289401,14669.85,178572,8925.65,332500,16881.55,297179,15017.13,265673,13482.14,461937,23791.84,184746,9400.74,-140495,-7532.09
000012.SZ,20260224,124347,5818.71,149836,7006.9,94632,4425.51,119322,5579.54,76644,3585.04,63595,2975.13,40675,1899.28,3545,166.97,97397,4564.31
