ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000009.SZ,20260320,101544,9115.71,107094,9622.67,100124,8988.98,106185,9533.25,67621,6089.95,60277,5414.35,22839,2053.71,18571,1678.09,-2093,-138.89
000009.SZ,20260319,105678,9505.94,99675,8981.01,96214,8658.66,81959,7380.16,64411,5806.07,61558,5542.18,14137,1267.19,37248,3334.5,-22958,-2038.61
000009.SZ,20260318,96586,8769.61,81343,7383.7,96543,8763.99,92817,8428.44,46029,4178.2,65058,5905.37,15303,1385.68,15244,1379.98,-73386,-6649.22
000009.SZ,20260317,91685,8554.25,75000,7008.66,91731,8570.26,87956,8218.37,44908,4199.02,56800,5302.49,7270,681.83,15838,1475.85,-66346,-6175.29
000009.SZ,20260316,120388,11328.39,113767,10706.3,120772,11368.88,116329,10961.75,87981,8292.7,90978,8573.58,13713,1288.85,21780,2037.18,-53945,-5050.21
000009.SZ,20260313,167891,15927.36,213534,20275.27,213194,20219.38,237176,22496.0,184979,17548.11,144783,13726.19,71270,6768.87,41841,3966.25,153590,14577.34
000009.SZ,20260312,89403,8212.56,78066,7171.49,99651,9155.58,71127,6538.16,49064,4513.43,74007,6798.3,9304,855.07,24223,2228.68,-57391,-5258.3
000009.SZ,20260311,125797,11693.24,111306,10344.86,110322,10248.42,117124,10878.2,83174,7716.93,111635,10363.38,31715,2949.91,10943,1022.07,50644,4713.4
000009.SZ,20260310,71883,6582.64,66294,6069.18,64511,5905.61,77713,7117.04,43918,4021.35,44041,4032.35,12234,1120.15,4498,411.18,2622,256.56
000009.SZ,20260309,116645,10447.72,106026,9496.1,107649,9638.26,100262,8991.63,55163,4945.0,75729,6779.44,18865,1689.35,16305,1453.17,-27576,-2415.68
000009.SZ,20260306,119639,10984.44,105173,9658.13,117316,10763.65,129598,11891.59,81242,7452.58,79608,7293.3,27012,2474.41,30829,2832.05,47267,4357.83
000009.SZ,20260305,82671,7419.74,113056,10159.78,102563,9221.98,93352,8394.18,65997,5934.88,53264,4793.66,19963,1798.91,11522,1027.89,-11693,-1036.77
000009.SZ,20260304,101453,9017.56,86681,7705.05,97780,8684.62,76282,6783.51,40775,3624.77,63157,5605.3,6820,604.94,20708,1838.03,-21027,-1848.76
000009.SZ,20260303,169716,15433.53,149409,13591.1,151864,13817.76,122363,11136.62,93468,8481.84,105065,9547.97,26774,2436.93,64984,5894.38,-116834,-10630.66
000009.SZ,20260302,130758,12221.44,113938,10633.41,114726,10720.28,96333,9010.84,70710,6603.85,87964,8222.3,9500,884.26,27458,2563.28,-67080,-6222.81
000009.SZ,20260227,78961,7511.25,61287,5829.2,71113,6766.45,69564,6618.71,43746,4164.71,58191,5544.27,8459,805.63,13237,1255.86,-9300,-874.58
000009.SZ,20260226,106683,10187.15,79187,7573.42,103870,9924.75,67037,6413.24,48742,4660.72,97281,9274.72,11847,1138.92,27638,2650.16,-90156,-8592.49
000009.SZ,20260225,154602,14934.24,88083,8506.69,126905,12252.77,93606,9036.33,72932,7047.03,139157,13445.75,34179,3304.41,67772,6549.68,28275,2769.44
000009.SZ,20260224,78052,7442.28,69071,6585.88,56136,5350.06,69564,6630.85,40349,3845.99,43155,4115.02,18790,1792.92,11537,1099.5,31657,3022.1
