ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000006.SZ,20260320,80699,7244.54,73143,6561.29,96954,8703.1,68994,6204.63,70200,6316.46,70916,6381.72,15649,1386.31,50450,4502.77,-39718,-3531.91
000006.SZ,20260319,79673,7249.3,92741,8445.32,104872,9545.16,88715,8084.16,90318,8224.65,81076,7385.67,21394,1946.16,33724,3050.12,-34198,-3054.76
000006.SZ,20260318,73779,6751.68,86125,7886.91,90818,8310.97,90132,8259.47,74505,6829.51,71641,6566.3,21588,1988.5,12792,1167.99,45728,4230.09
000006.SZ,20260317,53548,4906.53,57023,5224.73,67103,6151.31,68551,6289.82,66537,6105.44,62990,5777.1,46143,4237.51,44767,4109.15,-3556,-298.34
000006.SZ,20260316,68875,6270.58,54741,4982.3,72446,6591.83,78120,7114.88,72137,6568.0,73619,6702.44,26010,2364.26,32988,2995.04,33887,3111.75
000006.SZ,20260313,46307,4217.36,59720,5439.22,57699,5255.13,68416,6235.11,64379,5867.21,54503,4972.08,28381,2592.77,14126,1286.05,1341,137.51
000006.SZ,20260312,53930,4864.55,49417,4462.23,59472,5369.91,57344,5179.36,45213,4086.84,41547,3749.69,453,40.82,10760,970.84,-24346,-2183.23
000006.SZ,20260311,71347,6507.78,45938,4190.7,62277,5683.71,64840,5917.73,43437,3963.41,57779,5270.3,18697,1703.14,27201,2479.31,10819,993.96
000006.SZ,20260310,86810,7867.63,80680,7317.06,73600,6670.61,98648,8947.46,81880,7425.74,87405,7920.03,36910,3352.46,12467,1131.89,63710,5789.33
000006.SZ,20260309,106454,9359.28,112756,9880.58,123649,10865.04,112641,9902.85,107748,9470.16,104131,9171.29,21847,1906.98,30169,2646.74,-88109,-7690.43
000006.SZ,20260306,108271,9817.33,115476,10477.2,122714,11128.12,148641,13476.9,107964,9794.58,120910,10965.84,60120,5447.71,14043,1267.8,97337,8811.2
000006.SZ,20260305,67614,5940.46,72308,6345.91,71444,6280.08,73142,6435.76,48919,4299.26,62254,5475.75,36855,3241.51,17128,1503.88,-19970,-1732.5
000006.SZ,20260304,68745,5891.71,66446,5694.76,57687,4941.64,58921,5049.57,45540,3902.96,44747,3831.3,10401,889.21,12259,1049.9,1717,151.6
000006.SZ,20260303,97596,8520.61,72762,6353.19,111445,9730.72,84444,7375.01,78452,6835.09,89236,7785.42,10834,937.02,51885,4509.82,-58867,-5143.42
000006.SZ,20260302,109225,9792.77,70722,6343.95,109743,9824.7,88271,7922.12,96682,8660.26,101793,9129.16,7219,645.71,62082,5528.21,-52885,-4729.84
000006.SZ,20260227,76643,7068.5,66753,6163.64,74347,6855.13,60672,5603.87,74138,6845.42,75023,6914.96,12132,1123.24,34814,3209.82,-32602,-2992.23
000006.SZ,20260226,108643,10224.54,150063,14093.28,153363,14432.56,112374,10584.94,112329,10569.17,100543,9479.45,22684,2136.5,34040,3205.09,-111819,-10517.88
000006.SZ,20260225,121821,11717.53,117860,11354.72,144247,13891.97,172424,16583.11,151531,14581.14,136348,13119.49,43223,4152.61,34191,3285.94,97985,9431.61
000006.SZ,20260224,96462,8949.24,110766,10275.41,113364,10523.57,96042,8913.53,88344,8186.1,81732,7577.84,12042,1115.9,21672,2008.03,-50025,-4619.12
