ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000010.SZ,20260320,175596,8106.77,188161,8697.34,206671,9544.86,207383,9584.76,153192,7075.57,132840,6134.63,46076,2126.89,53151,2437.36,29425,1406.51
000010.SZ,20260319,183639,8471.23,197733,9130.51,202059,9324.69,192502,8890.85,126750,5856.61,107733,4969.53,12629,584.3,27109,1245.96,3567,205.13
000010.SZ,20260318,243200,11176.65,198430,9128.34,229626,10567.57,204511,9406.3,99440,4577.26,161522,7430.21,18434,852.59,26237,1209.23,-103398,-4724.24
000010.SZ,20260317,366666,17355.88,393700,18627.43,425259,20112.37,396939,18800.19,274103,12982.41,293068,13867.41,102088,4839.8,84409,3995.43,49072,2461.23
000010.SZ,20260316,446092,20567.5,542327,24965.48,518268,23813.77,497284,22910.83,379833,17357.06,323998,14841.59,98558,4562.93,79142,3583.35,154458,7134.7
000010.SZ,20260313,55290,2387.0,139369,6203.23,87932,3849.03,184181,8178.26,134190,5968.73,141668,6307.31,198188,8952.27,10382,468.23,-142480,-6508.6
000010.SZ,20260312,225433,9323.4,134942,5581.9,168198,6969.0,169025,7002.71,104962,4346.34,165256,6840.19,17659,730.97,47029,1944.91,-121234,-5008.03
000010.SZ,20260311,152030,6587.95,112126,4858.98,145971,6326.16,152525,6609.75,120569,5228.51,150073,6508.55,21395,927.18,25241,1092.51,-64129,-2767.45
000010.SZ,20260310,143131,6229.52,159816,6960.66,157221,6842.66,167479,7292.41,127208,5548.04,104111,4534.15,22422,978.08,18576,811.09,48868,2144.65
000010.SZ,20260309,230585,9771.08,169854,7211.02,191036,8107.49,173310,7349.71,111724,4754.57,147088,6248.09,22509,956.05,65602,2780.36,-104894,-4433.79
000010.SZ,20260306,254515,11068.95,272093,11853.8,234118,10189.09,232218,10106.53,154686,6730.95,196633,8562.94,89737,3928.66,32112,1394.38,23558,1071.86
000010.SZ,20260305,423945,18452.98,368043,16035.15,457505,19919.81,368107,16036.39,404621,17644.33,439851,19152.5,89044,3927.51,199114,8720.58,-120933,-5147.02
000010.SZ,20260304,253231,10758.94,384028,16510.44,304221,12978.44,434368,18667.41,366787,15777.54,391490,16906.73,445425,19530.57,159778,6960.92,112608,4794.64
000010.SZ,20260303,294678,12236.55,237568,9914.67,291128,12138.97,254576,10631.64,217201,9077.69,256446,10730.67,62713,2639.48,117130,4815.71,-38174,-1496.9
000010.SZ,20260302,339979,14310.6,304642,12858.01,330342,13920.59,309460,13054.18,262748,11089.53,267428,11256.22,45798,1922.25,97337,4074.56,-13777,-544.94
000010.SZ,20260227,474055,19725.63,539610,22551.15,490693,20432.86,498474,20878.98,436491,18162.2,397149,16521.72,223345,9532.63,189351,7901.47,188632,8056.16
000010.SZ,20260226,177804,6646.72,227084,8719.73,178759,6775.9,226933,8747.52,161016,6160.9,243990,9331.61,218239,8640.35,37811,1425.01,-10726,-479.46
000010.SZ,20260225,157234,5842.39,195180,7270.2,134156,4999.12,143030,5328.2,163498,6095.26,146538,5457.22,55052,2049.94,25192,931.09,46446,1724.68
000010.SZ,20260224,99609,3551.99,99168,3534.12,58153,2070.58,72884,2596.93,25615,912.81,23575,839.89,15314,544.32,3064,108.77,8145,298.38
