ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000011.SZ,20260320,49050,4341.72,41309,3653.07,23772,2104.07,26082,2310.05,6383,562.18,12289,1086.52,1770,155.76,1295,114.09,-14955,-1318.86
000011.SZ,20260319,59686,5442.49,48749,4453.56,38815,3554.37,40020,3659.88,18781,1719.9,18691,1713.26,1947,178.35,11769,1068.4,7285,670.98
000011.SZ,20260318,37437,3360.45,36586,3285.21,28788,2584.93,28343,2545.68,10004,900.91,11301,1015.39,0,0.0,0,0.0,10069,909.86
000011.SZ,20260317,36701,3276.95,43944,3923.8,31626,2823.45,34576,3086.01,19890,1772.03,12975,1158.48,5049,454.0,1771,158.13,12481,1115.74
000011.SZ,20260316,31326,2728.2,26831,2335.83,24667,2148.36,18551,1616.04,5682,495.59,14224,1239.85,0,0.0,2069,180.42,2785,243.1
000011.SZ,20260313,23877,2058.79,24152,2083.4,18278,1577.33,21691,1872.84,9228,799.02,6957,601.03,1417,122.12,0,0.0,12480,1078.0
000011.SZ,20260312,14795,1264.78,16472,1407.14,13046,1114.09,11004,940.93,1793,153.14,3681,314.01,1523,130.06,0,0.0,-5097,-434.25
000011.SZ,20260311,17207,1474.79,13102,1122.65,10316,883.73,13938,1194.86,4282,367.14,4765,408.14,0,0.0,0,0.0,-3574,-304.95
000011.SZ,20260310,17477,1492.16,20247,1726.96,13323,1135.91,12418,1060.79,5601,477.92,2199,187.75,0,0.0,1537,130.49,7703,659.81
000011.SZ,20260309,21526,1814.29,20581,1735.01,13171,1109.6,11789,993.83,3819,321.17,4846,407.33,0,0.0,1300,108.91,-4236,-354.82
000011.SZ,20260306,23161,1963.38,20022,1696.36,13549,1147.45,15427,1307.04,4178,354.38,5439,461.81,0,0.0,0,0.0,10966,928.51
000011.SZ,20260305,19639,1648.6,23814,1996.9,16449,1380.01,12928,1085.5,8314,697.2,7483,628.41,0,0.0,177,15.01,-3697,-307.97
000011.SZ,20260304,23412,1947.02,23707,1971.47,17240,1433.56,18528,1541.49,5312,441.69,3729,309.31,0,0.0,0,0.0,-1982,-162.53
000011.SZ,20260303,32403,2752.06,29075,2469.81,28477,2418.68,22963,1954.29,6089,516.66,12696,1077.57,2327,201.21,4562,386.93,-21341,-1809.89
000011.SZ,20260302,37881,3275.15,35691,3086.65,27610,2387.95,26576,2300.01,11866,1025.12,13416,1157.53,1183,100.79,2857,244.82,-19070,-1650.42
000011.SZ,20260227,23166,2059.67,23452,2084.99,14733,1309.89,17225,1531.65,8541,759.47,4564,405.8,0,0.0,1199,106.59,-10184,-903.97
000011.SZ,20260226,37377,3373.83,45638,4109.91,34582,3123.26,27852,2517.82,18872,1699.34,17862,1612.77,3071,277.15,2550,233.09,-27094,-2451.9
000011.SZ,20260225,27678,2553.72,29820,2752.98,20435,1886.24,22136,2043.15,13427,1238.42,11483,1058.92,3048,282.64,1149,105.98,13944,1289.49
000011.SZ,20260224,27251,2473.54,19549,1774.08,13796,1251.61,17376,1577.28,4857,440.82,7856,712.75,0,0.0,1123,101.86,-6132,-555.04
