ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000008.SZ,20260320,180625,5024.7,195944,5447.34,143181,3983.67,139381,3876.58,130021,3616.32,120569,3358.05,44058,1227.21,41991,1169.93,-177471,-4932.38
000008.SZ,20260319,166884,4718.05,153308,4332.49,147215,4162.3,145563,4116.99,116182,3287.39,111458,3155.72,39884,1129.27,59836,1691.81,-191051,-5388.7
000008.SZ,20260318,183011,5221.73,158438,4520.24,178083,5082.11,132443,3785.29,116925,3338.03,136792,3905.13,32644,933.08,82990,2364.29,-88546,-2510.48
000008.SZ,20260317,178065,5196.43,138353,4049.26,166725,4872.69,144378,4226.21,142370,4173.21,174539,5111.04,29108,857.15,58997,1712.96,-148302,-4300.21
000008.SZ,20260316,209368,6165.14,162813,4792.1,188164,5543.05,164778,4860.05,155071,4569.0,167260,4926.99,11531,338.31,69283,2036.37,-181140,-5323.3
000008.SZ,20260313,256265,7665.15,387909,11621.03,329539,9866.4,381075,11405.52,319476,9560.92,306673,9176.04,238327,7132.22,67952,2022.11,308229,9208.25
000008.SZ,20260312,114589,3344.72,104515,3050.67,118843,3468.6,117310,3425.47,154558,4510.63,118178,3449.58,28972,845.8,76959,2244.04,31008,921.38
000008.SZ,20260311,115443,3352.85,86832,2519.89,103943,3018.22,119126,3457.01,118826,3449.6,114563,3325.1,50341,1461.03,68032,1979.71,28815,857.22
000008.SZ,20260310,123215,3573.8,106555,3091.8,127910,3708.53,90622,2629.19,128766,3733.98,172811,5009.34,27583,800.03,37486,1086.0,-44748,-1286.57
000008.SZ,20260309,138448,4005.34,92779,2684.2,116155,3359.27,106477,3081.72,131979,3819.61,146428,4236.9,10137,292.98,51035,1474.37,-65035,-1865.91
000008.SZ,20260306,111153,3235.73,111350,3241.32,81056,2356.23,117577,3418.63,112602,3273.82,80507,2341.17,22948,669.6,18325,534.26,97889,2863.04
000008.SZ,20260305,131245,3778.2,148755,4281.03,138349,3982.81,130736,3764.85,111577,3210.14,131501,3782.07,62130,1788.18,32309,931.37,97537,2822.25
000008.SZ,20260304,186104,5284.6,173247,4919.38,163892,4653.21,188311,5342.89,134648,3819.09,121518,3454.5,48744,1386.42,50312,1426.55,-108134,-3052.64
000008.SZ,20260303,243794,7113.12,264871,7723.69,222213,6488.06,214169,6263.36,219299,6431.5,232777,6804.33,83331,2422.38,56819,1663.69,-293868,-8550.9
000008.SZ,20260302,227665,6735.01,175702,5195.6,197732,5851.58,185011,5476.47,209323,6199.24,203457,6027.04,36351,1079.25,106901,3165.98,-102249,-3008.42
000008.SZ,20260227,121658,3673.26,80557,2432.0,91983,2777.08,83639,2525.63,117251,3540.33,106327,3209.81,44532,1344.87,104901,3168.1,8568,269.57
000008.SZ,20260226,141651,4279.9,127256,3843.61,143508,4341.47,116654,3527.45,113453,3432.26,166864,5046.15,69282,2089.24,57120,1725.65,-71984,-2163.85
000008.SZ,20260225,154496,4724.26,125251,3829.89,152399,4660.98,134269,4107.26,130432,3985.72,140530,4297.66,38984,1193.37,76261,2329.53,48324,1498.41
000008.SZ,20260224,171477,5199.07,137725,4174.24,116329,3524.72,137818,4176.93,115678,3504.41,139621,4232.9,76826,2330.9,65146,1975.03,15536,482.67
